,Sample,Area,Feret,Perim.,Major,Minor,Width,Height,Min,Max,AR,Circ.,Round,Solidity,Morph,Upper_CMBS,Lower_CMBS
45,AC8_RE_02,21187.643,207.908,604.152,182.896,147.499,196.429,160.714,3,64,1.24,0.729,0.806,0.885,Indeterminate,160,150
46,AC8_RE_02,13534.581,167.726,501.94,146.369,117.735,154.762,142.857,3,50,1.243,0.675,0.804,0.845,Irregular,160,150
47,AC8_RE_02,13853.459,244.048,754.23,229.616,76.818,238.095,113.095,14,89,2.989,0.306,0.335,0.674,Indeterminate,160,150
48,AC8_RE_02,8042.801,175.872,479.575,154.724,66.185,160.714,107.143,5,59,2.338,0.439,0.428,0.775,Irregular,160,150
49,AC8_RE_02,15625.001,189.17,581.786,148.308,134.143,148.81,184.524,2,76,1.106,0.58,0.904,0.818,Irregular,160,150
50,AC8_RE_02,18955.5,269.177,891.806,227.712,105.989,196.429,250,2,82,2.148,0.3,0.465,0.598,Irregular,160,150
51,AC8_RE_02,87372.454,515.354,2172.879,403.65,275.6,351.19,511.905,1,108,1.465,0.233,0.683,0.77,Irregular,160,150
52,AC8_RE_02,45989.232,311.862,921.145,301.017,194.525,285.714,244.048,2,81,1.547,0.681,0.646,0.928,Indeterminate,160,150
53,AC8_RE_02,37166.952,274.391,825.907,237.068,199.615,255.952,273.81,8,67,1.188,0.685,0.842,0.869,Irregular,160,150
54,AC8_RE_02,31250.002,303.513,997.752,257.879,154.293,273.81,244.048,2,61,1.671,0.394,0.598,0.758,Irregular,160,150
55,AC8_RE_02,16829.65,194.98,579.744,174.964,122.472,166.667,172.619,18,82,1.429,0.629,0.7,0.838,Indeterminate,160,150
56,AC8_RE_02,13818.028,263.658,711.542,212.047,82.97,244.048,142.857,3,49,2.556,0.343,0.391,0.666,Irregular,160,150
57,AC8_RE_02,18849.207,257.677,820.377,233.431,102.812,255.952,148.81,2,108,2.27,0.352,0.44,0.677,Irregular,160,150
58,AC8_RE_02,21577.382,338.815,828.547,277.744,98.915,321.429,178.571,1,63,2.808,0.395,0.356,0.798,Irregular,160,150
59,AC8_RE_02,51197.565,679.98,1735.249,634.92,102.669,273.81,660.714,1,127,6.184,0.214,0.162,0.654,Indeterminate,160,150
